city,state,latitude,longitude
Albuquerque,New Mexico,35.0841034,-106.650985
Arlington,Texas,32.7355816,-97.1071186
Atlanta,Georgia,33.7489924,-84.3902644
Austin,Texas,30.2711286,-97.7436995
Baltimore,Maryland,39.2908816,-76.610759
Boston,Massachusetts,42.3554334,-71.060511
Charlotte,North Carolina,35.2272086,-80.8430827
Chicago,Illinois,41.8755616,-87.6244212
Cleveland,Ohio,41.4996574,-81.6936772
Colorado Springs,Colorado,38.8339578,-104.825348
Columbus,Ohio,39.9622601,-83.0007065
Dallas,Texas,32.7762719,-96.7968559
Denver,Colorado,39.7392364,-104.984862
Detroit,Michigan,42.3315509,-83.0466403
El Paso,Texas,31.7550511,-106.488234
Fort Worth,Texas,32.753177,-97.3327459
Fresno,California,36.7295295,-119.70886126075588
Houston,Texas,29.7589382,-95.3676974
Jacksonville,Florida,30.3321838,-81.655651
Kansas City,Missouri,39.100105,-94.5781416
Las Vegas,Nevada,36.1672559,-115.148516
Long Beach,California,33.7690164,-118.191604
Los Angeles,California,34.0536909,-118.242766
Memphis,Tennessee,35.1460249,-90.0517638
Mesa,Arizona,33.4151005,-111.831455
Miami,Florida,25.7741728,-80.19362
Milwaukee,Wisconsin,43.0349931,-87.922497
Minneapolis,Minnesota,44.9772995,-93.2654692
New York,New York,40.7127281,-74.0060152
Oakland,California,37.8044557,-122.271356
Oklahoma City,Oklahoma,35.4729886,-97.5170536
Omaha,Nebraska,41.2587459,-95.9383758
Philadelphia,Pennsylvania,39.9527237,-75.1635262
Phoenix,Arizona,33.4484367,-112.074141
Portland,Oregon,45.5202471,-122.674194
Raleigh,North Carolina,35.7803977,-78.6390989
Sacramento,California,38.5810606,-121.493895
San Antonio,Texas,29.4246002,-98.4951405
San Diego,California,32.7174202,-117.1627728
San Francisco,California,37.7790262,-122.419906
San Jose,California,37.3361663,-121.890591
Seattle,Washington,47.6038321,-122.330062
Tucson,Arizona,32.2228765,-110.974847
Tulsa,Oklahoma,36.1563122,-95.9927516
Virginia Beach,Virginia,36.8529841,-75.9774183
Washington,District of Columbia,38.8950368,-77.0365427
Wichita,Kansas,37.6922361,-97.3375448
Indianapolis,Indiana,39.7683331,-86.1583502
Louisville,Kentucky,38.2542376,-85.759407
Nashville-Davidson,Tennessee,36.1622767,-86.7742984
