element_type,osmid,geometry,amenity,nodes,fee,parking,smoothness,surface,addr:city,addr:country,addr:postcode,addr:state,addr:street,building,building:levels,addr:housenumber,layer,access,store,capacity,nohousenumber,capacity:disabled,lit,capacity:parent,capacity:women,ways,type,name
way,669973632,"POLYGON ((-111.9828391 33.6044696, -111.9828424 33.6045065, -111.9828612 33.6045143, -111.9828847 33.6045165, -111.9828853 33.6044389, -111.9830062 33.6044395, -111.9830123 33.6045838, -111.9829871 33.6046164, -111.9829826 33.6047332, -111.982958 33.6047492, -111.9829517 33.6047533, -111.9829175 33.6047533, -111.9829061 33.6047617, -111.9829028 33.6048069, -111.9824133 33.6048064, -111.9824159 33.6047505, -111.9824019 33.6047394, -111.9824032 33.6045232, -111.9824173 33.6045098, -111.9824133 33.6044635, -111.9828391 33.6044696))",parking,"[6274371902, 6274371903, 6274371904, 6274371905, 6274371978, 6274371906, 6274371979, 6274371980, 6274371907, 6274371918, 6274371908, 6274371909, 6274371910, 6274371911, 6274371912, 6274371913, 6274371914, 6274371915, 6274371916, 6274371917, 6274371902]",,surface,,asphalt,,,,,,,1,,,yes,"Walmart Supercenter, 4747 E Cactus Rd, Phoenix",,,,,,,,,
way,130318933,"POLYGON ((-112.2273244 33.4794089, -112.2273034 33.4793485, -112.2271894 33.4792346, -112.2270625 33.4791105, -112.2268984 33.4789554, -112.2267759 33.4788368, -112.226684 33.4788313, -112.2265396 33.4788933, -112.2263361 33.4790302, -112.2261589 33.4791579, -112.225962 33.4793003, -112.225916 33.4793423, -112.2259269 33.4793934, -112.2259795 33.4794244, -112.2266799 33.4794973, -112.2268593 33.4794995, -112.2269777 33.479489, -112.2270899 33.4794733, -112.22727 33.4794337, -112.2273244 33.4794089))",parking,"[1435765004, 4224839038, 1435764893, 1435764809, 1435764719, 1435764631, 1435764624, 1435764668, 1435764760, 1435764836, 1435764927, 1435764957, 1435765010, 1435765040, 1435765076, 1435765100, 4224839039, 1435765073, 1435765034, 1435765004]",no,surface,good,asphalt,,,,,,,1,,,yes,"Target, 7409 W Virginia Ave, Phoenix",,,,,,,,,
way,504752805,"POLYGON ((-112.2272049 33.4796323, -112.2272062 33.4797818, -112.2272672 33.4797775, -112.2272888 33.4797924, -112.2272888 33.4798369, -112.2277487 33.4798167, -112.2281489 33.4798114, -112.2281502 33.4797659, -112.2281934 33.4797256, -112.2282264 33.4797256, -112.228234 33.4789469, -112.2281354 33.4789026, -112.2280644 33.4790164, -112.2281044 33.4790348, -112.2281126 33.4790481, -112.2281078 33.4791165, -112.2280403 33.4791153, -112.2280285 33.4793764, -112.2281057 33.479381, -112.2280975 33.4796731, -112.227779 33.4796697, -112.2276611 33.4794787, -112.2275446 33.4795138, -112.2272805 33.4796139, -112.2272578 33.479634, -112.2272049 33.4796323))",parking,"[4948708420, 4948710721, 4948710722, 4948710723, 4948710724, 4948710725, 4948710726, 4948710727, 4948710728, 4948710729, 4948710730, 4948710731, 4948710732, 4948710733, 4948710734, 4948710735, 4948710736, 4948710737, 4948710738, 4948710739, 4948710740, 4948710741, 4948710742, 4948710743, 4948710744, 4948708420]",no,surface,good,asphalt,,,,,,,1,,,yes,"Target, 7409 W Virginia Ave, Phoenix",,,,,,,,,
way,130318933,"POLYGON ((-112.2273244 33.4794089, -112.2273034 33.4793485, -112.2271894 33.4792346, -112.2270625 33.4791105, -112.2268984 33.4789554, -112.2267759 33.4788368, -112.226684 33.4788313, -112.2265396 33.4788933, -112.2263361 33.4790302, -112.2261589 33.4791579, -112.225962 33.4793003, -112.225916 33.4793423, -112.2259269 33.4793934, -112.2259795 33.4794244, -112.2266799 33.4794973, -112.2268593 33.4794995, -112.2269777 33.479489, -112.2270899 33.4794733, -112.22727 33.4794337, -112.2273244 33.4794089))",parking,"[1435765004, 4224839038, 1435764893, 1435764809, 1435764719, 1435764631, 1435764624, 1435764668, 1435764760, 1435764836, 1435764927, 1435764957, 1435765010, 1435765040, 1435765076, 1435765100, 4224839039, 1435765073, 1435765034, 1435765004]",no,surface,good,asphalt,,,,,,,1,,,yes,"Walmart Supercenter, 2020 N 75th Ave, Phoenix",,,,,,,,,
way,504748092,"POLYGON ((-112.221539 33.4664531, -112.2215383 33.4663987, -112.2215095 33.4663989, -112.2215086 33.4663327, -112.2212519 33.4663351, -112.2212472 33.4659777, -112.2211139 33.4659789, -112.2211129 33.4659072, -112.2210151 33.4659109, -112.2210178 33.4659575, -112.2208906 33.4659575, -112.2208906 33.4663942, -112.2209594 33.4663935, -112.2209601 33.4664533, -112.2210714 33.4664523, -112.2210708 33.4664042, -112.2212303 33.4664028, -112.221231 33.4664559, -112.221539 33.4664531))",parking,"[4948669474, 4948669475, 4948669476, 4948669477, 4948669478, 4948669479, 4948669480, 4948669481, 4948669482, 4948669483, 4948669484, 4948669485, 4948669486, 4948669487, 4948669488, 4948669489, 4948669490, 4948669491, 4948669474]",no,surface,good,asphalt,,,,,,,1,,,yes,"Walmart Supercenter, 2020 N 75th Ave, Phoenix",,,,,,,,,
way,504752805,"POLYGON ((-112.2272049 33.4796323, -112.2272062 33.4797818, -112.2272672 33.4797775, -112.2272888 33.4797924, -112.2272888 33.4798369, -112.2277487 33.4798167, -112.2281489 33.4798114, -112.2281502 33.4797659, -112.2281934 33.4797256, -112.2282264 33.4797256, -112.228234 33.4789469, -112.2281354 33.4789026, -112.2280644 33.4790164, -112.2281044 33.4790348, -112.2281126 33.4790481, -112.2281078 33.4791165, -112.2280403 33.4791153, -112.2280285 33.4793764, -112.2281057 33.479381, -112.2280975 33.4796731, -112.227779 33.4796697, -112.2276611 33.4794787, -112.2275446 33.4795138, -112.2272805 33.4796139, -112.2272578 33.479634, -112.2272049 33.4796323))",parking,"[4948708420, 4948710721, 4948710722, 4948710723, 4948710724, 4948710725, 4948710726, 4948710727, 4948710728, 4948710729, 4948710730, 4948710731, 4948710732, 4948710733, 4948710734, 4948710735, 4948710736, 4948710737, 4948710738, 4948710739, 4948710740, 4948710741, 4948710742, 4948710743, 4948710744, 4948708420]",no,surface,good,asphalt,,,,,,,1,,,yes,"Walmart Supercenter, 2020 N 75th Ave, Phoenix",,,,,,,,,
way,153658290,"POLYGON ((-112.0337482 33.3806256, -112.0336463 33.381508, -112.0335605 33.3815036, -112.0335605 33.3815282, -112.0331474 33.3814969, -112.0331554 33.3814252, -112.0324584 33.3813651, -112.0324557 33.3813945, -112.0323866 33.3813856, -112.0324051 33.3812218, -112.0323421 33.3812163, -112.0323242 33.3813502, -112.0317285 33.3812975, -112.0318143 33.3805159, -112.0327343 33.3805271, -112.0337482 33.3806256))",parking,"[1662972055, 1662971864, 1662972061, 1662972321, 1662971860, 1662972109, 8669830424, 8669830425, 8669830426, 8669830427, 8669830428, 8669830429, 1662972369, 1662972295, 1662972173, 1662972055]",,,,,,,,,,,1,,,yes,"Target, 2140 E Baseline Rd, Phoenix",,,,,,,,,South Parking Lot
way,574772154,"POLYGON ((-112.0237657 33.3708865, -112.0237473 33.370779, -112.023687 33.3707862, -112.0233513 33.3708618, -112.0232853 33.370882, -112.0233466 33.3709895, -112.0237657 33.3708865))",parking,"[5516417589, 5516417588, 5516417587, 5516417586, 5516417585, 5516417584, 5516417589]",no,surface,good,asphalt,,,,,,,1,,,yes,"Target, 2140 E Baseline Rd, Phoenix",12,,1,,no,no,,,
way,153658290,"POLYGON ((-112.0337482 33.3806256, -112.0336463 33.381508, -112.0335605 33.3815036, -112.0335605 33.3815282, -112.0331474 33.3814969, -112.0331554 33.3814252, -112.0324584 33.3813651, -112.0324557 33.3813945, -112.0323866 33.3813856, -112.0324051 33.3812218, -112.0323421 33.3812163, -112.0323242 33.3813502, -112.0317285 33.3812975, -112.0318143 33.3805159, -112.0327343 33.3805271, -112.0337482 33.3806256))",parking,"[1662972055, 1662971864, 1662972061, 1662972321, 1662971860, 1662972109, 8669830424, 8669830425, 8669830426, 8669830427, 8669830428, 8669830429, 1662972369, 1662972295, 1662972173, 1662972055]",,,,,,,,,,,1,,,yes,"Walmart Neighborhood Market, 2435 E Baseline Rd, Phoenix",,,,,,,,,South Parking Lot
way,574772154,"POLYGON ((-112.0237657 33.3708865, -112.0237473 33.370779, -112.023687 33.3707862, -112.0233513 33.3708618, -112.0232853 33.370882, -112.0233466 33.3709895, -112.0237657 33.3708865))",parking,"[5516417589, 5516417588, 5516417587, 5516417586, 5516417585, 5516417584, 5516417589]",no,surface,good,asphalt,,,,,,,1,,,yes,"Walmart Neighborhood Market, 2435 E Baseline Rd, Phoenix",12,,1,,no,no,,,
