neighborhoods,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix","Walmart Supercenter, 4747 E Cactus Rd, Phoenix","Target, 21001 N Tatum Blvd, Phoenix","Target, 7409 W Virginia Ave, Phoenix","Walmart Supercenter, 1825 W Bell Rd, Phoenix","Walmart Supercenter, 5250 W Indian School Rd, Phoenix","Target, 9830 W Lower Buckeye Rd, Tolleson","Kohl's, 3000-3010 S 99th Ave, Tolleson","Walmart Supercenter, 3721 E Thomas Rd, Phoenix","Walmart Supercenter, 6145 N 35th Ave, Phoenix","Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix","Walmart Supercenter, 2020 N 75th Ave, Phoenix","Target, 4722 E Ray Rd #3, Phoenix","Walmart Supercenter, 6150 S 35th Ave, Phoenix","Kohl's, 17232 N 19th Ave, Phoenix","Walmart Supercenter, 18551 N 83rd Ave &, W Union Hills Dr","Target, 8055 W Bell Rd, Peoria","Target, 10404 N 43rd Ave, Glendale","Target, 4515 E Thomas Rd, Phoenix","Kohl's, 21001 N Tatum Blvd, Phoenix","Walmart Supercenter, 1607 W Bethany Home Rd, Phoenix","Target, 5715 N 19th Ave, Phoenix","Target, 2727 W Agua Fria Fwy, Phoenix","Walmart Supercenter, 9600 N Metro Pkwy W, Phoenix","Walmart Supercenter, 2501 W Happy Valley Rd Suite 34, Phoenix","Marshalls, 4729 E Ray Rd, Phoenix","Target, 2140 E Baseline Rd, Phoenix","Walmart Neighborhood Market, 2435 E Baseline Rd, Phoenix","Marshalls, 21001 N Tatum Blvd, Phoenix","Marshalls, 10130 W McDowell Rd, Avondale"
Maryvale,28.9,39.0,49.9,2.8,34.0,4.8,13.1,13.4,25.1,11.9,8.6,3.0,40.7,20.3,34.1,25.1,23.8,16.3,26.4,50.4,21.7,14.5,37.6,25.6,41.6,40.9,28.5,29.1,50.5,8.6
North Mountain,5.3,14.3,23.3,27.9,5.4,18.2,35.8,36.1,28.7,11.3,30.8,27.5,44.1,26.8,5.8,23.1,25.4,6.2,30.0,23.7,10.1,8.3,12.3,4.0,15.1,44.3,32.2,32.7,23.9,32.2
Ahwatukee Foothills,53.4,56.7,64.4,37.5,60.9,37.9,36.0,35.7,36.7,48.8,31.0,37.1,11.8,30.0,61.0,63.6,62.3,56.7,35.2,64.9,48.6,47.6,64.8,52.5,67.6,11.6,29.5,29.2,65.0,41.8
Rio Vista,49.9,56.3,47.5,69.1,39.5,59.5,73.9,74.3,71.4,52.6,72.0,68.7,85.3,68.0,39.2,29.4,31.3,47.4,71.2,47.9,52.6,52.5,34.5,45.2,30.4,85.5,73.4,74.0,48.1,69.8
Desert View,37.7,44.1,27.1,56.9,27.3,47.2,61.7,62.0,59.1,40.3,59.8,56.5,73.1,55.8,27.0,34.6,36.9,35.2,59.0,27.6,40.3,40.3,22.3,33.0,18.2,73.3,61.2,61.7,27.0,57.6
Laveen,38.2,48.3,56.1,19.9,43.3,20.4,18.5,17.8,34.5,31.2,13.4,19.5,32.6,5.2,43.4,46.1,44.7,39.1,35.8,56.5,31.0,30.0,47.2,34.9,50.1,32.8,13.1,13.7,56.7,24.2
Camelback East,13.7,13.5,26.0,26.6,23.7,24.4,34.5,34.8,3.1,14.8,29.5,26.2,24.2,25.5,26.7,46.9,49.2,22.4,4.6,26.5,11.0,11.1,35.5,18.1,38.8,24.4,21.3,21.0,26.6,30.9
Alhambra,8.4,18.8,29.5,19.0,14.6,8.9,26.9,27.2,19.8,2.5,21.9,18.6,35.2,17.9,14.6,29.3,31.6,10.3,21.1,29.9,1.8,1.7,18.5,6.1,21.3,35.4,23.3,23.8,30.1,23.3
South Mountain,26.8,30.2,37.9,26.7,36.0,24.5,34.5,34.9,16.3,23.9,21.3,26.2,15.8,9.3,36.1,50.7,51.5,31.8,17.3,38.3,23.7,22.7,39.9,27.6,42.7,16.0,2.4,2.9,38.5,31.0
Deer Valley,17.9,24.5,15.7,37.2,7.6,27.5,40.8,41.1,39.6,20.6,40.1,36.8,53.4,36.1,7.3,13.7,16.0,15.5,39.3,16.2,20.6,20.6,1.8,13.3,4.2,53.6,41.5,42.0,16.3,36.6
Estrella,28.8,38.9,46.7,10.5,33.9,11.0,8.6,9.0,25.1,21.8,4.3,10.1,36.3,9.8,34.0,36.7,35.3,29.7,26.4,47.1,21.6,20.6,37.8,25.5,40.7,36.5,20.7,21.3,47.3,14.8
North Gateway,30.5,36.9,28.1,49.8,20.2,40.1,54.6,54.9,52.0,33.2,52.7,49.3,65.9,48.6,19.9,27.5,29.7,28.0,51.8,28.5,33.2,33.1,15.1,25.8,11.0,66.1,54.0,54.6,28.7,50.4
Paradise Valley,14.4,4.2,9.4,38.5,12.4,36.3,46.4,46.7,21.9,21.6,41.4,38.1,41.7,37.4,12.2,30.3,32.6,30.6,18.4,9.8,17.8,18.7,18.8,28.4,22.1,41.9,33.2,32.9,10.0,42.8
Central City,20.5,23.9,31.6,20.9,32.2,18.7,28.7,29.1,10.0,20.1,23.8,20.4,20.4,14.4,32.3,46.9,45.7,28.0,11.0,32.0,15.9,18.9,36.1,23.8,38.9,20.7,8.8,9.4,32.2,25.2
Encanto,9.7,21.0,28.7,18.8,23.4,11.6,26.7,27.0,7.2,11.2,21.7,18.4,26.9,17.3,23.4,38.1,27.3,19.1,8.7,29.2,6.3,6.7,27.3,14.9,30.1,27.1,18.3,18.0,29.3,23.1
