store,avg_travel_time,business_communities,highways,design,accessibility,parking_space,store_size
"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",29.1,3,6,16,110,1,3719.55
"Walmart Supercenter, 4747 E Cactus Rd, Phoenix",32.1,1,2,26,346,2,9359.74
"Target, 21001 N Tatum Blvd, Phoenix",30.3,1,4,44,42,1,13911.77
"Target, 7409 W Virginia Ave, Phoenix",32.7,1,2,26,65,3,11542.02
"Walmart Supercenter, 1825 W Bell Rd, Phoenix",27.7,1,3,8,47,1,21883.87
"Walmart Supercenter, 5250 W Indian School Rd, Phoenix",31.9,1,2,20,92,1,20814.1
"Target, 9830 W Lower Buckeye Rd, Tolleson",37.3,0,2,5,27,1,12286.65
"Kohl's, 3000-3010 S 99th Ave, Tolleson",37.7,0,2,5,43,1,8303.37
"Walmart Supercenter, 3721 E Thomas Rd, Phoenix",32.1,0,3,10,24,1,19130.39
"Walmart Supercenter, 6145 N 35th Ave, Phoenix",28.7,1,2,8,24,1,20063.69
"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",31.6,0,2,6,57,1,19788.81
"Walmart Supercenter, 2020 N 75th Ave, Phoenix",31.9,2,3,28,122,4,20608.31
"Target, 4722 E Ray Rd #3, Phoenix",35.3,0,6,39,155,1,12824.24
"Walmart Supercenter, 6150 S 35th Ave, Phoenix",29.6,0,2,8,71,1,20459.57
"Kohl's, 17232 N 19th Ave, Phoenix",27.1,1,2,10,35,1,9010.46
"Walmart Supercenter, 18551 N 83rd Ave &, W Union Hills Dr",31.3,3,4,36,84,1,20263.22
"Target, 8055 W Bell Rd, Peoria",34.3,2,4,89,80,1,13789.68
"Target, 10404 N 43rd Ave, Glendale",32.3,0,2,4,44,1,12639.16
"Target, 4515 E Thomas Rd, Phoenix",33.4,1,2,26,62,1,11989.84
"Kohl's, 21001 N Tatum Blvd, Phoenix",33.0,1,4,43,39,1,8364.99
"Walmart Supercenter, 1607 W Bethany Home Rd, Phoenix",26.5,2,4,14,77,1,23001.81
"Target, 5715 N 19th Ave, Phoenix",27.1,0,0,0,0,1,17954.14
"Target, 2727 W Agua Fria Fwy, Phoenix",25.4,1,9,50,20,1,12429.24
"Walmart Supercenter, 9600 N Metro Pkwy W, Phoenix",25.7,2,5,35,172,1,13754.54
"Walmart Supercenter, 2501 W Happy Valley Rd Suite 34, Phoenix",28.0,3,6,9,24,1,19082.55
"Marshalls, 4729 E Ray Rd, Phoenix",36.4,0,4,38,126,1,2290.68
"Target, 2140 E Baseline Rd, Phoenix",34.6,1,2,19,183,3,12178.56
"Walmart Neighborhood Market, 2435 E Baseline Rd, Phoenix",34.7,1,2,19,179,3,3911.48
"Marshalls, 21001 N Tatum Blvd, Phoenix",32.5,1,3,42,68,1,2361.42
"Marshalls, 10130 W McDowell Rd, Avondale",32.5,1,5,52,19,1,2625.19
